h^0:
# 0 0 
2 0 1       1
h^1:
# 1 1 
2 1 1   0 1    1
2 4 1   0 3 1 4 2 3 2 4    29/360-16*w_4_125+20*w_4_108-16*w_4_109+8*w_4_100-16*w_4_103
2 4 1   0 3 2 4 1 2 3 4    29/360-16*w_4_125+20*w_4_108-16*w_4_109+8*w_4_100-16*w_4_103
2 4 1   0 3 1 4 2 3 3 4    -1/40+16*w_4_125-12*w_4_108+8*w_4_109+8*w_4_104+16*w_4_103
2 4 1   0 3 2 4 1 2 2 3    1/40-16*w_4_125+12*w_4_108-8*w_4_109-8*w_4_104-16*w_4_103
2 4 1   0 3 1 4 2 5 2 3    7/120+16*w_4_125+12*w_4_108+8*w_4_107-8*w_4_109-8*w_4_100+16*w_4_103+16*w_4_119
2 4 1   0 3 4 5 1 2 2 4    -7/120-16*w_4_125-12*w_4_108-8*w_4_107+8*w_4_109+8*w_4_100-16*w_4_103-16*w_4_119
2 4 1   0 3 1 4 2 5 2 4    23/360-16*w_4_125+16*w_4_108+4*w_4_107-16*w_4_109-4*w_4_100+8*w_4_101-20*w_4_104+8*w_4_103-8*w_4_102+8*w_4_119
2 4 1   0 3 4 5 1 2 3 4    -23/360+16*w_4_125-16*w_4_108-4*w_4_107+16*w_4_109+4*w_4_100-8*w_4_101+20*w_4_104-8*w_4_103+8*w_4_102-8*w_4_119
2 4 1   0 3 1 4 2 5 3 4    -1/15+16*w_4_125-16*w_4_108+8*w_4_109+8*w_4_101+8*w_4_103
2 4 1   0 3 4 5 1 2 2 3    -1/15+16*w_4_125-16*w_4_108+8*w_4_109+8*w_4_101+8*w_4_103
2 4 1   0 3 1 4 3 5 2 3    -2/45-4*w_4_108+4*w_4_107-4*w_4_100+4*w_4_104-8*w_4_102+8*w_4_119
2 4 1   0 3 2 4 2 5 1 2    2/45+4*w_4_108-4*w_4_107+4*w_4_100-4*w_4_104+8*w_4_102-8*w_4_119
2 4 1   0 3 1 4 3 5 2 4    -7/90-16*w_4_108+8*w_4_109-8*w_4_100-8*w_4_104+16*w_4_103-16*w_4_102
2 4 1   0 3 2 4 3 5 1 2    7/90+16*w_4_108-8*w_4_109+8*w_4_100+8*w_4_104-16*w_4_103+16*w_4_102
2 4 1   0 3 2 4 1 3 2 3    1/120+4*w_4_108-8*w_4_109-24*w_4_104+16*w_4_103
2 4 1   0 3 2 4 1 3 3 4    1/120+4*w_4_108-8*w_4_109-24*w_4_104+16*w_4_103
2 4 1   0 3 2 4 1 3 2 4    -1/90-16*w_4_109+16*w_4_100-80*w_4_104+32*w_4_103
2 4 1   0 3 2 4 1 5 2 3    4*w_4_108+4*w_4_107-8*w_4_109-4*w_4_100-8*w_4_101+4*w_4_104-8*w_4_103-8*w_4_102+8*w_4_119
2 4 1   0 3 4 5 1 5 2 4    -4*w_4_108-4*w_4_107+8*w_4_109+4*w_4_100+8*w_4_101-4*w_4_104+8*w_4_103+8*w_4_102-8*w_4_119
2 4 1   0 3 2 4 1 5 2 4    1/360-16*w_4_109-48*w_4_104+32*w_4_103-16*w_4_102
2 4 1   0 3 2 4 1 5 3 4    7/90+12*w_4_108-16*w_4_109+8*w_4_101-40*w_4_104+40*w_4_103
2 4 1   0 3 2 4 2 5 1 4    7/90+12*w_4_108-16*w_4_109+8*w_4_101-40*w_4_104+40*w_4_103
2 4 1   0 3 2 4 2 5 1 3    13/360+4*w_4_108-8*w_4_109+8*w_4_100-8*w_4_101-32*w_4_104+24*w_4_103
2 4 1   0 3 4 5 1 3 2 4    -13/360-4*w_4_108+8*w_4_109-8*w_4_100+8*w_4_101+32*w_4_104-24*w_4_103
2 4 1   0 3 2 4 3 5 1 3    1/20+8*w_4_108-8*w_4_109-8*w_4_101-16*w_4_104+24*w_4_103
2 4 1   0 3 4 5 1 3 2 3    -1/20-8*w_4_108+8*w_4_109+8*w_4_101+16*w_4_104-24*w_4_103
2 4 1   0 3 2 4 3 5 1 4    11/120+16*w_4_108-16*w_4_109-16*w_4_104+32*w_4_103
2 4 1   0 3 4 5 1 5 2 3    -11/180-16*w_4_108-8*w_4_107+16*w_4_109+8*w_4_100+8*w_4_104-16*w_4_119
# 1 2 
2 4 1   0 1 1 2 2 3 2 3    -1/12-8*w_4_108
2 4 1   0 1 1 2 2 3 2 4    16*w_4_103
2 4 1   0 1 1 2 2 3 3 4    13/180-8*w_4_107+8*w_4_100-24*w_4_104
2 4 1   0 1 1 2 2 5 3 4    -1/90-8*w_4_108-8*w_4_107+8*w_4_100-24*w_4_104-16*w_4_103
2 4 1   0 1 1 4 2 3 2 3    -11/90-24*w_4_108-8*w_4_107+8*w_4_100-40*w_4_104+16*w_4_103
2 4 1   0 1 1 4 2 3 2 4    16*w_4_104
2 4 1   0 1 1 4 2 3 3 4    1/12+8*w_4_108
2 4 1   0 1 1 4 2 5 2 3    16*w_4_103
2 4 1   0 1 1 4 2 5 2 4    1/90+8*w_4_108+8*w_4_107-8*w_4_100+24*w_4_104
2 4 1   0 1 1 4 2 5 3 4    -16*w_4_103
2 4 1   0 1 1 4 3 5 2 3    1/36+8*w_4_108+16*w_4_104-16*w_4_103
2 4 1   0 1 1 4 3 5 2 4    -16*w_4_104
2 4 1   0 3 1 4 1 2 3 4    1/5-32*w_4_125+48*w_4_108-32*w_4_109+16*w_4_100-48*w_4_104
2 4 1   0 3 1 4 1 2 2 3    -1/30-32*w_4_125-8*w_4_108-8*w_4_107+8*w_4_100-8*w_4_104-32*w_4_103
2 4 1   0 3 1 4 1 2 2 4    -1/180+32*w_4_125-8*w_4_108+16*w_4_109+16*w_4_104+16*w_4_103
2 4 1   0 3 1 2 1 3 3 4    -1/6-32*w_4_108+32*w_4_109+64*w_4_104-64*w_4_103
2 4 1   0 3 1 2 1 3 2 4    -1/15-24*w_4_108-8*w_4_107+32*w_4_109-24*w_4_100+72*w_4_104-48*w_4_103
2 4 1   0 3 1 2 1 3 2 3    1/12+8*w_4_108
2 4 1   0 3 4 5 1 2 1 4    -3/20-32*w_4_108-8*w_4_107+32*w_4_109+8*w_4_100+40*w_4_104-16*w_4_103-16*w_4_119
2 4 1   0 3 2 4 1 5 1 2    -1/90-8*w_4_108-8*w_4_107+16*w_4_109+8*w_4_100+24*w_4_104-16*w_4_103+16*w_4_102
2 4 1   0 3 2 4 1 2 1 4    1/36+8*w_4_108+16*w_4_104-16*w_4_103
2 4 1   0 3 1 4 1 5 2 3    7/180+16*w_4_108+8*w_4_107-16*w_4_109+8*w_4_100-8*w_4_104-16*w_4_103+16*w_4_119
2 4 1   0 3 1 4 2 5 1 3    -16*w_4_100
2 4 1   0 3 2 4 1 5 1 3    -16*w_4_101
2 4 1   0 3 1 4 1 5 2 4    -16*w_4_102
2 4 1   0 3 1 4 2 3 1 3    -16*w_4_103
2 4 1   0 3 2 4 1 3 1 4    -16*w_4_104
2 4 1   0 3 1 2 1 2 2 3    -16*w_4_108
2 4 1   0 3 1 2 1 2 3 4    16*w_4_109
2 4 1   0 3 1 2 1 2 2 4    -1/18-16*w_4_108+16*w_4_109+32*w_4_104-32*w_4_103
2 4 1   0 3 1 2 1 5 2 3    17/180+16*w_4_108+8*w_4_107-16*w_4_109+8*w_4_100-40*w_4_104+32*w_4_103
2 4 1   0 3 1 2 1 5 3 4    -7/36-32*w_4_108+32*w_4_109+64*w_4_104-64*w_4_103
2 4 1   0 3 1 2 1 5 2 4    -1/12-16*w_4_108+16*w_4_109+32*w_4_104-32*w_4_103
2 4 1   0 3 1 4 2 5 1 2    -16*w_4_119
2 4 1   0 3 1 4 3 5 1 2    1/6+32*w_4_108-16*w_4_109+16*w_4_100-32*w_4_103+16*w_4_102
2 4 1   0 3 1 4 2 3 1 2    -1/18-16*w_4_108-32*w_4_104+32*w_4_103
2 4 1   0 3 2 4 1 2 1 2    32*w_4_103
2 4 1   0 3 2 4 1 2 1 3    7/180+16*w_4_108+8*w_4_107-16*w_4_109-8*w_4_100-8*w_4_104+16*w_4_103
2 4 1   0 3 1 4 2 3 1 4    1/9+16*w_4_108-16*w_4_109+16*w_4_100-32*w_4_104+16*w_4_103
2 4 1   0 3 4 5 1 2 1 3    -1/9-16*w_4_108+16*w_4_109+16*w_4_101+48*w_4_104-32*w_4_103
2 4 1   0 3 1 4 2 5 1 4    1/9+16*w_4_108-16*w_4_109+16*w_4_101-48*w_4_104+32*w_4_103
2 4 1   0 3 2 4 1 3 1 2    32*w_4_104
2 4 1   0 3 2 4 1 3 1 3    1/9+16*w_4_108-16*w_4_109-32*w_4_104+32*w_4_103
# 2 1 
2 4 1   0 1 0 2 2 3 2 3    1/12+8*w_4_108
2 4 1   0 1 0 2 2 3 2 4    -16*w_4_103
2 4 1   0 1 0 2 2 3 3 4    -13/180+8*w_4_107-8*w_4_100+24*w_4_104
2 4 1   0 1 0 2 2 5 3 4    1/90+8*w_4_108+8*w_4_107-8*w_4_100+24*w_4_104+16*w_4_103
2 4 1   0 1 0 4 2 3 2 3    11/90+24*w_4_108+8*w_4_107-8*w_4_100+40*w_4_104-16*w_4_103
2 4 1   0 1 0 4 2 3 2 4    -16*w_4_104
2 4 1   0 1 0 4 2 3 3 4    -1/12-8*w_4_108
2 4 1   0 1 0 4 2 5 2 3    -16*w_4_103
2 4 1   0 1 0 4 2 5 2 4    -1/90-8*w_4_108-8*w_4_107+8*w_4_100-24*w_4_104
2 4 1   0 1 0 4 2 5 3 4    16*w_4_103
2 4 1   0 1 0 4 3 5 2 3    -1/36-8*w_4_108-16*w_4_104+16*w_4_103
2 4 1   0 1 0 4 3 5 2 4    16*w_4_104
2 4 1   0 3 0 4 1 2 2 3    1/5-32*w_4_125+48*w_4_108-32*w_4_109+16*w_4_100-48*w_4_104
2 4 1   0 3 0 4 1 2 2 4    1/30+32*w_4_125+8*w_4_108+8*w_4_107-8*w_4_100+8*w_4_104+32*w_4_103
2 4 1   0 3 0 4 1 2 3 4    1/180-32*w_4_125+8*w_4_108-16*w_4_109-16*w_4_104-16*w_4_103
2 4 1   0 3 0 4 1 3 2 3    1/6+32*w_4_108-32*w_4_109-64*w_4_104+64*w_4_103
2 4 1   0 3 0 4 1 3 2 4    1/15+24*w_4_108+8*w_4_107-32*w_4_109+24*w_4_100-72*w_4_104+48*w_4_103
2 4 1   0 3 0 4 1 3 3 4    -1/12-8*w_4_108
2 4 1   0 3 0 4 1 5 2 3    3/20+32*w_4_108+8*w_4_107-32*w_4_109-8*w_4_100-40*w_4_104+16*w_4_103+16*w_4_119
2 4 1   0 3 0 4 1 5 2 4    1/90+8*w_4_108+8*w_4_107-16*w_4_109-8*w_4_100-24*w_4_104+16*w_4_103-16*w_4_102
2 4 1   0 3 0 4 1 5 3 4    -1/36-8*w_4_108-16*w_4_104+16*w_4_103
2 4 1   0 3 0 4 2 5 1 2    -7/180-16*w_4_108-8*w_4_107+16*w_4_109-8*w_4_100+8*w_4_104+16*w_4_103-16*w_4_119
2 4 1   0 3 0 4 2 5 1 3    16*w_4_100
2 4 1   0 3 0 4 2 5 1 4    16*w_4_101
2 4 1   0 3 0 4 3 5 1 2    16*w_4_102
2 4 1   0 3 0 4 3 5 1 3    16*w_4_103
2 4 1   0 3 0 4 3 5 1 4    16*w_4_104
2 4 1   0 3 1 2 0 3 2 3    16*w_4_108
2 4 1   0 3 1 2 0 3 2 4    16*w_4_109
2 4 1   0 3 1 2 0 3 3 4    -1/18-16*w_4_108+16*w_4_109+32*w_4_104-32*w_4_103
2 4 1   0 3 1 2 0 5 2 3    -17/180-16*w_4_108-8*w_4_107+16*w_4_109-8*w_4_100+40*w_4_104-32*w_4_103
2 4 1   0 3 1 2 0 5 2 4    -7/36-32*w_4_108+32*w_4_109+64*w_4_104-64*w_4_103
2 4 1   0 3 1 2 0 5 3 4    -1/12-16*w_4_108+16*w_4_109+32*w_4_104-32*w_4_103
2 4 1   0 3 1 4 0 5 2 3    16*w_4_119
2 4 1   0 3 1 4 0 5 2 4    -1/6-32*w_4_108+16*w_4_109-16*w_4_100+32*w_4_103-16*w_4_102
2 4 1   0 3 1 4 0 5 3 4    -1/18-16*w_4_108-32*w_4_104+32*w_4_103
2 4 1   0 3 1 4 2 3 0 3    -32*w_4_103
2 4 1   0 3 1 4 2 3 0 4    -7/180-16*w_4_108-8*w_4_107+16*w_4_109+8*w_4_100+8*w_4_104-16*w_4_103
2 4 1   0 3 2 4 1 2 0 3    -1/9-16*w_4_108+16*w_4_109-16*w_4_100+32*w_4_104-16*w_4_103
2 4 1   0 3 1 4 2 5 0 4    -1/9-16*w_4_108+16*w_4_109+16*w_4_101+48*w_4_104-32*w_4_103
2 4 1   0 3 2 4 1 5 0 3    -1/9-16*w_4_108+16*w_4_109-16*w_4_101+48*w_4_104-32*w_4_103
2 4 1   0 3 1 4 3 5 0 4    32*w_4_104
2 4 1   0 3 2 4 1 3 0 3    -1/9-16*w_4_108+16*w_4_109+32*w_4_104-32*w_4_103
# 2 2 
2 4 1   0 1 0 4 1 3 3 4    -1/6
2 4 1   0 3 1 2 0 5 1 4    1/72
2 4 1   0 1 0 1 2 3 2 3    17/90+24*w_4_108
2 4 1   0 1 0 1 2 3 2 4    49/180+24*w_4_108-16*w_4_107-48*w_4_104
2 4 1   0 1 0 1 2 5 3 4    -1/12+16*w_4_107+48*w_4_104
2 4 1   0 1 0 2 1 2 2 3    2/45
2 4 1   0 1 0 2 1 2 2 4    -2/45
2 4 1   0 1 0 2 1 2 3 4    53/90+96*w_4_108-16*w_4_107-96*w_4_109+48*w_4_100-240*w_4_104+192*w_4_103
2 4 1   0 1 0 2 1 3 2 3    -1/60-24*w_4_108
2 4 1   0 1 0 4 1 2 2 4    1/60+24*w_4_108
2 4 1   0 1 0 2 1 3 2 4    -49/90-72*w_4_108+24*w_4_107+48*w_4_109-24*w_4_100+168*w_4_104-144*w_4_103
2 4 1   0 1 0 4 1 2 2 3    49/90+72*w_4_108-24*w_4_107-48*w_4_109+24*w_4_100-168*w_4_104+144*w_4_103
2 4 1   0 1 0 2 1 3 3 4    2/9+48*w_4_108-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 4 1 2 3 4    2/9+48*w_4_108-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 2 1 5 2 3    61/180+48*w_4_108-8*w_4_107-48*w_4_109+24*w_4_100-120*w_4_104+96*w_4_103
2 4 1   0 1 0 4 2 5 1 2    -61/180-48*w_4_108+8*w_4_107+48*w_4_109-24*w_4_100+120*w_4_104-96*w_4_103
2 4 1   0 1 0 2 1 5 2 4    1/90
2 4 1   0 1 0 4 2 3 1 2    -1/90
2 4 1   0 1 0 2 1 5 3 4    5/18+48*w_4_108-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 4 3 5 1 2    5/18+48*w_4_108-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 4 1 3 2 3    37/90+48*w_4_108-16*w_4_107-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 4 1 3 2 4    -37/90-48*w_4_108+16*w_4_107+48*w_4_109+96*w_4_104-96*w_4_103
2 4 1   0 1 0 4 1 5 2 3    34/45+96*w_4_108-32*w_4_107-96*w_4_109-288*w_4_104+240*w_4_103
2 4 1   0 1 0 4 2 5 1 3    -34/45-96*w_4_108+32*w_4_107+96*w_4_109+288*w_4_104-240*w_4_103
2 4 1   0 1 0 4 1 5 2 4    7/90-16*w_4_107-48*w_4_104
2 4 1   0 1 0 4 2 3 1 3    -7/90+16*w_4_107+48*w_4_104
2 4 1   0 1 0 4 2 3 1 4    4/15+48*w_4_108-48*w_4_109-96*w_4_104+96*w_4_103
2 4 1   0 1 0 4 2 5 1 4    -4/15-48*w_4_108+48*w_4_109+96*w_4_104-96*w_4_103
2 4 1   0 3 0 4 1 2 1 2    4/45-16*w_4_107-48*w_4_104+48*w_4_103
2 4 1   0 3 1 4 1 2 0 3    4/45-16*w_4_107-48*w_4_104+48*w_4_103
2 4 1   0 3 0 4 1 2 1 3    -1/9+16*w_4_107+48*w_4_104-48*w_4_103
2 4 1   0 3 1 4 0 5 1 3    -1/9+16*w_4_107+48*w_4_104-48*w_4_103
2 4 1   0 3 0 4 1 2 1 4    -1/90
2 4 1   0 3 0 4 1 5 1 3    -1/90
2 4 1   0 3 0 4 1 3 1 2    4/45-16*w_4_107
2 4 1   0 3 1 2 0 5 1 3    4/45-16*w_4_107
2 4 1   0 3 0 4 1 3 1 3    1/30
2 4 1   0 3 1 2 0 3 1 3    1/30
2 4 1   0 3 0 4 1 3 1 4    -1/90
2 4 1   0 3 0 4 1 5 1 2    17/90-32*w_4_107-96*w_4_104+96*w_4_103
2 4 1   0 3 1 2 0 3 1 2    13/90
2 4 1   0 3 1 2 0 3 1 4    16*w_4_107
2 4 1   0 3 1 2 0 5 1 2    16*w_4_107
2 4 1   0 3 1 4 0 5 1 2    -31/180+32*w_4_107+96*w_4_104-96*w_4_103
